City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Bengkulu,ID,2021-12-04 08:58:21,-3.8004,102.2655,81.59,83,100,11.21
254,Souillac,MU,2021-12-04 08:58:21,-20.5167,57.5167,86.38,62,40,14.97
255,Wahiawa,US,2021-12-04 08:58:22,21.5028,-158.0236,65.88,69,77,6.69
256,Sharjah,AE,2021-12-04 08:54:45,25.3573,55.4033,80.76,47,75,13.8
257,Manacapuru,BR,2021-12-04 08:58:23,-3.2997,-60.6206,75.78,88,100,2.73
258,Abu Samrah,SY,2021-12-04 08:58:23,35.3029,37.1841,59.49,43,100,6.93
259,Bridgetown,BB,2021-12-04 08:55:07,13.1,-59.6167,79.29,78,40,14.97
260,Jieshi,CN,2021-12-04 08:58:24,22.8134,115.8257,69.94,56,17,21.92
261,Verkhnevilyuysk,RU,2021-12-04 08:58:24,63.4453,120.3167,-1.01,98,100,6.85
262,Darque,PT,2021-12-04 08:58:24,41.6833,-8.7667,58.24,92,93,11.32
263,Tommot,RU,2021-12-04 08:58:25,58.9564,126.2925,12.22,96,100,2.91
264,Todos Santos,MX,2021-12-04 08:58:25,23.45,-110.2167,75.0,50,7,7.7
265,Taoudenni,ML,2021-12-04 08:58:25,22.6783,-3.9836,63.55,30,100,19.55
266,Jining,CN,2021-12-04 08:56:18,35.405,116.5814,49.35,43,1,4.34
267,Kushmurun,KZ,2021-12-04 08:58:26,52.4503,64.6311,34.0,99,99,11.65
268,Husavik,IS,2021-12-04 08:58:27,66.0449,-17.3389,8.51,77,47,10.67
269,Kapuskasing,CA,2021-12-04 08:58:27,49.4169,-82.4331,-2.11,92,75,2.3
270,Surt,LY,2021-12-04 08:58:27,31.2089,16.5887,58.12,56,11,27.31
271,Caravelas,BR,2021-12-04 08:58:28,-17.7125,-39.2481,73.33,89,68,2.19
272,Kanigoro,ID,2021-12-04 08:58:28,-8.13,112.219,77.61,90,99,7.47
273,Galle,LK,2021-12-04 08:58:29,6.0367,80.217,83.48,70,96,7.02
274,Lucelia,BR,2021-12-04 08:59:29,-21.7203,-51.0189,67.89,73,2,11.77
275,Sinnamary,GF,2021-12-04 08:59:29,5.3833,-52.95,76.6,91,100,7.31
276,Udachnyy,RU,2021-12-04 08:59:30,66.4167,112.4,3.51,97,100,2.73
277,Novo Aripuana,BR,2021-12-04 08:59:30,-5.1206,-60.3797,72.84,99,100,2.42
278,Derzhavinsk,KZ,2021-12-04 08:59:30,51.1,66.3167,28.49,92,100,12.28
279,Huarmey,PE,2021-12-04 08:59:31,-10.0681,-78.1522,65.7,90,100,7.07
280,Tautira,PF,2021-12-04 08:59:31,-17.7333,-149.15,78.82,71,82,14.74
281,Cockburn Town,TC,2021-12-04 08:59:32,21.4612,-71.1419,79.03,74,89,18.12
282,Kununurra,AU,2021-12-04 08:55:54,-15.7667,128.7333,93.18,46,69,18.41
283,Ngunguru,NZ,2021-12-04 08:59:32,-35.6167,174.5,68.16,89,100,12.93
284,Sorland,NO,2021-12-04 08:55:25,67.667,12.6934,28.47,56,6,24.05
285,Clyde River,CA,2021-12-04 08:57:48,70.4692,-68.5914,8.83,85,100,28.77
286,Marzuq,YE,2021-12-04 08:59:33,14.4,46.4667,71.46,21,0,7.18
287,Port-Gentil,GA,2021-12-04 08:59:33,-0.7193,8.7815,84.16,74,20,9.22
288,Pacifica,US,2021-12-04 08:59:34,37.6138,-122.4869,54.99,84,90,1.01
289,Yeniseysk,RU,2021-12-04 08:59:34,58.4497,92.1703,24.3,89,100,11.7
