City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
288,Iracoubo,GF,5.4802,-53.2011,76.08,90,100,5.48,overcast clouds
289,Dunedin,NZ,-45.8742,170.5036,54.81,66,73,3.0,broken clouds
290,Tawang,IN,27.5833,91.8667,55.18,40,51,7.02,broken clouds
291,Gunjur,GM,13.2019,-16.7339,66.27,94,0,0.0,clear sky
292,Tiarei,PF,-17.5333,-149.3333,82.42,76,55,13.8,light rain
293,Edgewater,US,28.9889,-80.9023,68.09,89,76,1.68,broken clouds
294,Leningradskiy,RU,69.3833,178.4167,-2.16,96,100,24.7,light snow
295,Jiuquan,CN,39.7432,98.5174,35.35,33,34,11.41,scattered clouds
296,Smithers,CA,54.7804,-127.1743,16.12,92,90,0.0,light snow
297,Hurghada,EG,27.2574,33.8129,62.64,42,0,8.05,clear sky
298,Xinzhou,CN,38.4092,112.7333,41.38,30,0,6.49,clear sky
299,Great Falls,US,47.5002,-111.3008,10.69,85,90,1.99,light shower snow
300,Tyukhtet,RU,56.5389,89.3011,30.96,96,100,14.05,light snow
301,Vologda,RU,59.2187,39.8886,-13.59,100,72,3.36,broken clouds
302,Mao,ES,39.8885,4.2658,46.96,76,20,5.75,few clouds
303,Camacari,BR,-12.6975,-38.3242,76.77,95,18,2.44,few clouds
304,Copiapo,CL,-27.3667,-70.3333,65.07,60,12,2.91,few clouds
305,Berlevag,NO,70.8578,29.0864,28.04,93,97,18.28,light snow
306,Port Lincoln,AU,-34.7333,135.8667,65.53,61,45,17.54,scattered clouds
307,Klaksvik,FO,62.2266,-6.589,38.32,73,100,32.61,overcast clouds
308,Broome,US,42.2506,-75.833,46.02,72,90,4.0,overcast clouds
309,Long Beach,US,33.767,-118.1892,65.97,77,1,4.61,mist
310,Chato,TZ,-2.6378,31.7669,71.94,70,95,3.85,overcast clouds
311,Sioux Lookout,CA,50.1001,-91.917,17.67,86,90,12.66,light snow
312,Olafsvik,IS,64.8945,-23.7142,40.53,79,90,23.0,light rain
313,Iisalmi,FI,63.5592,27.1907,15.82,96,74,4.52,broken clouds
